Line,block,group,year,Oil,Palmitic,Stearic,Oleic,Linoleic,Linolenic
76,1,PI,2,18.54,8.75,2.49,28.72,51.39,5.82
19,2,PI,1,17.43,14,3.41,20.91,52.21,7.04
19,2,PI,2,17.77,13.34,3,24.4,49.9,6.96
81,2,PI,1,15.46,11.3,3.49,23.81,50.2,8.61
81,2,PI,2,15.7,10.25,2.64,28.31,48.38,7.67
20,2,PI,1,21.5,9.59,3.02,29.99,47.22,6.44
20,2,PI,2,17.88,8.22,2.45,26.5,52.22,6.36
21,4,PI,1,16.99,11.06,3.22,18.8,57.01,6.54
21,4,PI,2,19.02,10.6,3.25,24.58,54.55,6.66
122,1,PI,1,16.88,10.3,3.72,22.69,54.41,6.77
122,1,PI,2,16.8,10.22,3.7,22.59,54.3,6.77
22,1,PI,1,14.49,11.35,2.98,20.07,55.41,7.79
22,1,PI,2,15.54,12.23,3.6,23.08,51.48,7.03
23,1,PI,1,16.55,11.03,3.22,33.19,44.38,5.67
23,1,PI,2,15.38,11.63,3.71,21.73,53.03,7.56
24,1,PI,1,14.57,11.54,3.02,18.52,54.47,8.79
24,1,PI,2,13.27,8.32,2.95,19.79,56.91,9.49
92,1,PI,1,16.17,11.75,2.98,20.79,54.69,7.31
92,1,PI,2,16.2,11.8,3.01,20.82,54.71,7.32
25,1,PI,1,15.98,12.22,3.41,22.92,55.01,6.87
25,1,PI,2,20.11,11.38,2.55,19.13,55.01,8.17
98,2,PI,1,16.87,12.26,2.97,22.92,51.97,7.31
98,2,PI,2,16.87,12.01,3.02,22.45,52.3,7.2
102,1,PI,1,14.96,10.62,2.85,23.99,53.24,6.49
102,1,PI,2,14.95,10.26,2.8,23.48,53.65,7.47
103,2,PI,1,15.67,11,2.99,18.69,57.61,6.83
103,2,PI,2,13.34,11.32,3.64,16.11,58.51,8.15
107,1,PI,1,12.2,11.2,3.34,14.41,58.52,10.23
107,1,PI,2,15.19,9.56,3.1,18.98,56.59,9.27
26,6,PI,1,23.49,12.72,3.19,27.89,47.73,5.95
26,6,PI,2,23.11,11.33,3.23,22.41,54.76,5.92
27,2,PI,1,20.66,9.89,2.78,20.66,57.79,6.11
27,2,PI,2,18.98,9.74,2.68,21.87,56.7,6.32
110,2,PI,1,18.34,12.33,3.02,15.45,59.05,7.54
110,2,PI,2,18.22,11.66,2.92,17.49,58.49,6.85
28,4,PI,1,20.94,8.8,3.56,41.58,39.02,4.44
28,4,PI,2,19.47,9.93,4.18,28.69,48.97,5.87
30,3,PI,1,17.99,8.29,2.8,57.03,26.76,2.19
30,3,PI,2,16.84,9.01,3.34,51.07,30.84,2.63
31,5,PI,1,20.61,7.37,3.31,25.12,56.17,6.18
31,5,PI,2,18.86,7.44,3.56,23.15,57.18,6.88
32,5,PI,1,19.82,14.44,3.06,18.13,54.13,7.06
32,5,PI,2,18.42,16.56,3.41,17.1,51.12,7.89
33,4,PI,1,21.42,10.14,4.25,42.25,35.87,4.63
33,4,PI,2,19.74,10.68,4.74,34.27,41.98,5.44
34,3,PI,1,16.18,12.33,3.68,19.65,55.82,5.98
34,3,PI,2,16.5,12.3,3.65,19.65,55.82,6
35,5,PI,1,20.82,10.74,3.66,21.71,58.79,2.72
35,5,PI,2,20.23,10.95,2.61,17.25,58.93,7.12
36,5,PI,1,20.89,10.79,3.66,20.57,56.12,6.77
36,5,PI,2,18.96,11.19,3.62,21.18,54.78,7.06
38,3,PI,1,17.04,9.77,2.91,44.83,35.11,4.8
38,3,PI,2,14.79,11.14,3.23,30.44,46.35,6.15
39,4,PI,1,15.63,12.25,3.23,23.12,52.46,6.37
39,4,PI,2,16.1,12.6,3.54,17.51,56.78,6.87
40,4,PI,1,15.38,11.36,3.39,17.52,58.7,6.71
40,4,PI,2,15.03,11.85,3.62,16.59,59.11,6.43
41,4,PI,1,15.45,10.2,4.55,19.12,57.83,5.91
41,4,PI,2,15.53,9.97,4.55,19.88,56.93,6.55
42,3,PI,1,22.29,12.48,2.66,20.89,51.88,9.2
42,3,PI,2,20.11,11.4,3.04,34.17,41.32,6.8
111,2,PI,1,16.47,12.93,3.83,22.89,50.24,7.67
111,2,PI,2,12.84,12.78,3.85,20.03,52.61,8.22
43,4,PI,1,20.67,4.63,3.24,60.45,24.67,3.93
43,4,PI,2,18.23,6.17,3.09,51.91,31.65,4.19
44,3,PI,1,18.28,4.37,2.27,60.42,27.1,3.2
44,3,PI,2,18.56,6.84,2.88,41.49,41.05,4.94
45,5,PI,1,23.6,10.75,3.6,25.22,51.64,6.02
45,5,PI,2,22.67,9.65,3.57,38.59,40.52,4.52
46,3,PI,1,23.34,10.83,3.58,21.77,54.77,6.44
46,3,PI,2,20.41,10.88,3.9,22.48,53.31,6.87
47,3,PI,1,17.18,9.72,2.83,41.69,40.9,2.51
47,3,PI,2,17.33,9.41,2.99,50.21,32.11,2.43
112,2,PI,1,18.17,10.9,2.82,18.97,58.89,6.19
112,2,PI,2,19.14,10.38,3.24,23.14,55.3,5.41
113,1,PI,1,12.2,12.76,2.62,13.68,55.56,12.9
113,1,PI,2,14.51,12.09,2.6,18.38,54.02,10.27
115,2,PI,1,19.01,10.05,3.07,20.99,57.22,6.57
115,2,PI,2,18.8,9.74,2.88,20.53,58.39,6.44
119,2,PI,1,15.74,11.21,3,18.94,56.4,7.86
119,2,PI,2,18.31,11.17,3.36,18.87,60.94,3.71
120,1,PI,1,15.78,9.24,3.69,13.36,63.96,8.02
120,1,PI,2,18.4,10.59,3.25,22.2,58.23,3
48,5,PI,1,20.11,10.23,3.16,25.77,53.81,4.29
48,5,PI,2,18.85,10.28,3.16,28.56,50.8,4.71
49,5,PI,1,20.36,3.14,2.68,45.88,41.3,5.29
49,5,PI,2,19.56,3.33,3.38,39.57,46.22,5.67
50,5,PI,1,21.05,3.25,2.19,29.04,58.18,5.2
50,5,PI,2,19.86,3.38,2.14,34.49,53.19,4.75
51,4,PI,1,22.04,11.39,4.01,19.38,56.92,6.11
51,4,PI,2,21.87,10.82,3.77,20.74,56.72,5.87
52,4,PI,1,21.64,9.68,2.69,37.64,44.75,2.75
52,4,PI,2,20.53,10.93,3.59,39.99,39.34,3.18
54,4,PI,1,20.51,10.57,3.46,19.84,56.67,7.23
54,4,PI,2,21.16,10.16,3.69,23.23,53.84,6.65
55,4,PI,1,21.55,10.68,3.62,20.24,57.29,6.14
55,4,PI,2,20.42,10.18,3.85,21.57,55.95,6.41
56,5,PI,1,19.86,9.96,2.55,35.3,45.38,4.17
56,5,PI,2,20.2,10.2,2.6,35.35,45.5,4.2
14,1,PI,1,16.96,11.56,3.61,19.43,55.83,7.14
14,1,PI,2,16.62,10.34,3.28,18.79,57.88,7.71
15,3,PI,1,20.82,10.62,2.86,25.39,52.08,6.35
15,3,PI,2,20.8,10.7,2.9,25.39,52,6.35
